,Name,Ballotpedia Page,State,District,Campaign Twitter,Official Twitter,Personal Twitter,Party,Incumbent?,Percent of Votes
36,Ruben Gallego,https://ballotpedia.org/Ruben_Gallego,Arizona,7,https://www.twitter.com/RubenGallego,https://www.twitter.com/RepRubenGallego,,Democratic Party,TRUE,0.767
37,Josh Barnett,https://ballotpedia.org/Josh_Barnett,Arizona,7,https://www.twitter.com/BarnettforAZ,,,Republican Party,FALSE,0.233
38,J.Travis Kirkham,https://ballotpedia.org/J.Travis_Kirkham,Arizona,7,,,,Republican Party,FALSE,0.0
39,Roxanne Rodriguez,https://ballotpedia.org/Roxanne_Rodriguez,Arizona,7,,,,Libertarian Party,FALSE,0.0
40,Debbie Lesko,https://ballotpedia.org/Debbie_Lesko,Arizona,8,https://www.twitter.com/DebbieLesko,https://www.twitter.com/RepDLesko,,Republican Party,TRUE,0.596
41,Michael Muscato,https://ballotpedia.org/Michael_Muscato,Arizona,8,https://www.twitter.com/michael_muscato,,,Democratic Party,FALSE,0.40400000000000000
42,Taliban Hendrix,https://ballotpedia.org/Taliban_Hendrix,Arizona,8,https://www.twitter.com/TalibanHendrix,,,Independent,FALSE,0.0
43,Greg Stanton,https://ballotpedia.org/Greg_Stanton,Arizona,9,https://www.twitter.com/gregstantonaz,https://www.twitter.com/repgregstanton,,Democratic Party,TRUE,0.616
44,Dave Giles,https://ballotpedia.org/Dave_Giles,Arizona,9,https://www.twitter.com/VoteGiles,,,Republican Party,FALSE,0.384
45,Rick Crawford,https://ballotpedia.org/Rick_Crawford_(Arkansas),Arkansas,1,https://www.twitter.com/Crawford4Cong,https://www.twitter.com/RepRickCrawford,,Republican Party,TRUE,1.0
46,French Hill,https://ballotpedia.org/French_Hill,Arkansas,2,https://www.twitter.com/ElectFrench,https://www.twitter.com/RepFrenchHill,,Republican Party,TRUE,0.5540000000000000
47,Joyce Elliott,https://ballotpedia.org/Joyce_Elliott,Arkansas,2,https://www.twitter.com/xjelliott,,,Democratic Party,FALSE,0.446
48,Steve Womack,https://ballotpedia.org/Steve_Womack,Arkansas,3,https://www.twitter.com/womack4congress,https://www.twitter.com/rep_stevewomack,,Republican Party,TRUE,0.643
49,Celeste Williams,https://ballotpedia.org/Celeste_Williams,Arkansas,3,https://www.twitter.com/CelesteforAR,,,Democratic Party,FALSE,0.318
50,Michael Kalagias,https://ballotpedia.org/Michael_Kalagias,Arkansas,3,https://www.twitter.com/KalagiasforUS,,,Libertarian Party,FALSE,0.039
51,Bruce Westerman,https://ballotpedia.org/Bruce_Westerman,Arkansas,4,https://www.twitter.com/WestermanAR,https://www.twitter.com/RepWesterman,https://www.twitter.com/bruce_westerman,Republican Party,TRUE,0.6970000000000000
52,William Hanson,https://ballotpedia.org/William_Hanson_(Arkansas),Arkansas,4,https://www.twitter.com/WilliamHansonAR,,,Democratic Party,FALSE,0.275
53,Frank Gilbert,https://ballotpedia.org/Frank_Gilbert,Arkansas,4,,,,Libertarian Party,FALSE,0.028000000000000000
54,Doug LaMalfa,https://ballotpedia.org/Doug_LaMalfa,California,1,https://www.twitter.com/DougLaMalfa,https://www.twitter.com/RepLaMalfa,,Republican Party,TRUE,0.57
55,Audrey Denney,https://ballotpedia.org/Audrey_Denney,California,1,https://www.twitter.com/audrey4congress,,,Democratic Party,FALSE,0.43
56,Jared Huffman,https://ballotpedia.org/Jared_Huffman,California,2,https://www.twitter.com/JaredHuffman,https://www.twitter.com/RepHuffman,,Democratic Party,TRUE,0.757
57,Dale Mensing,https://ballotpedia.org/Dale_Mensing,California,2,,,https://www.twitter.com/MensingDale,Republican Party,FALSE,0.243
58,John Garamendi,https://ballotpedia.org/John_Garamendi,California,3,https://www.twitter.com/JohnGaramendi,https://www.twitter.com/RepGaramendi,,Democratic Party,TRUE,0.547
59,Tamika Hamilton,https://ballotpedia.org/Tamika_Hamilton,California,3,https://www.twitter.com/TamikaGHamilton,,,Republican Party,FALSE,0.45300000000000000
60,Tom McClintock,https://ballotpedia.org/Tom_McClintock,California,4,https://www.twitter.com/tommcclintock,https://www.twitter.com/RepMcClintock,,Republican Party,TRUE,0.5590000000000000
61,Brynne Kennedy,https://ballotpedia.org/Brynne_Kennedy,California,4,https://www.twitter.com/BrynneSpeak,,https://www.twitter.com/KennedyBrynne,Democratic Party,FALSE,0.441
62,Mike Thompson,https://ballotpedia.org/Mike_Thompson_(California),California,5,https://www.twitter.com/Mike_CA05,https://www.twitter.com/RepThompson,,Democratic Party,TRUE,0.7610000000000000
63,Scott Giblin,https://ballotpedia.org/Scott_Giblin,California,5,,,,Republican Party,FALSE,0.239
64,Doris Matsui,https://ballotpedia.org/Doris_Matsui,California,6,https://www.twitter.com/Matsui4Congress,https://www.twitter.com/DorisMatsui,,Democratic Party,TRUE,0.733
65,Chris Bish,https://ballotpedia.org/Chris_Bish,California,6,https://www.twitter.com/BishForCongress,,https://www.twitter.com/ChrisBishRE,Republican Party,FALSE,0.267
66,Ami Bera,https://ballotpedia.org/Ami_Bera,California,7,https://www.twitter.com/BeraForCongress,https://www.twitter.com/RepBera,,Democratic Party,TRUE,0.5660000000000000
67,Buzz Patterson,https://ballotpedia.org/Buzz_Patterson,California,7,https://www.twitter.com/BuzzPatterson,,,Republican Party,FALSE,0.434
68,Chris Bubser,https://ballotpedia.org/Chris_Bubser,California,8,https://www.twitter.com/bubser4congress,,,Democratic Party,FALSE,0.439
69,Jay Obernolte,https://ballotpedia.org/Jay_Obernolte,California,8,https://www.twitter.com/TeamObernolte,https://www.twitter.com/JayObernolte,,Republican Party,FALSE,0.561
70,Jerry McNerney,https://ballotpedia.org/Jerry_McNerney,California,9,https://www.twitter.com/jerrymcnerney,https://www.twitter.com/RepMcNerney,,Democratic Party,TRUE,0.5760000000000000
71,Antonio Amador,https://ballotpedia.org/Antonio_Amador,California,9,,,,Republican Party,FALSE,0.424
72,Josh Harder,https://ballotpedia.org/Josh_Harder,California,10,https://www.twitter.com/JoshHarder,https://www.twitter.com/RepJoshHarder,,Democratic Party,TRUE,0.552
73,Ted Howze,https://ballotpedia.org/Ted_Howze,California,10,https://www.twitter.com/Ted_Howze,,,Republican Party,FALSE,0.44800000000000000
74,Mark DeSaulnier,https://ballotpedia.org/Mark_DeSaulnier,California,11,https://www.twitter.com/MarkDeSaulnier,https://www.twitter.com/RepDeSaulnier,,Democratic Party,TRUE,0.73
75,Nisha Sharma,https://ballotpedia.org/Nisha_Sharma,California,11,https://www.twitter.com/UsaNisha,,,Republican Party,FALSE,0.27
76,Nancy Pelosi,https://ballotpedia.org/Nancy_Pelosi,California,12,https://www.twitter.com/TeamPelosi,https://www.twitter.com/SpeakerPelosi,,Democratic Party,TRUE,0.7760000000000000
77,Shahid Buttar,https://ballotpedia.org/Shahid_Buttar,California,12,https://www.twitter.com/ShahidForChange,,https://www.twitter.com/Sheeyahshee,Democratic Party,FALSE,0.22400000000000000
78,Barbara Lee,https://ballotpedia.org/Barbara_Lee_(California),California,13,https://www.twitter.com/BLeeForCongress,https://www.twitter.com/RepBarbaraLee,,Democratic Party,TRUE,0.904
79,Nikka Piterman,https://ballotpedia.org/Nikka_Piterman,California,13,https://www.twitter.com/NikkaGOP,,,Republican Party,FALSE,0.096
80,Jackie Speier,https://ballotpedia.org/Jackie_Speier,California,14,https://www.twitter.com/JackieSpeier,https://www.twitter.com/RepSpeier,,Democratic Party,TRUE,0.7930000000000000
81,Ran Petel,https://ballotpedia.org/Ran_Petel,California,14,https://www.twitter.com/petel4congress,,,Republican Party,FALSE,0.207
82,Eric Swalwell,https://ballotpedia.org/Eric_Swalwell,California,15,https://www.twitter.com/ericswalwell,https://www.twitter.com/RepSwalwell,,Democratic Party,TRUE,0.7090000000000000
83,Alison Hayden,https://ballotpedia.org/Alison_Hayden,California,15,https://www.twitter.com/Alison4Congress,,https://www.twitter.com/Elled26,Republican Party,FALSE,0.29100000000000000
84,Jim Costa,https://ballotpedia.org/Jim_Costa,California,16,,https://www.twitter.com/RepJimCosta,,Democratic Party,TRUE,0.594
85,Kevin Cookingham,https://ballotpedia.org/Kevin_Cookingham,California,16,https://www.twitter.com/KevCookingham,,,Republican Party,FALSE,0.406
86,Ro Khanna,https://ballotpedia.org/Ro_Khanna,California,17,https://www.twitter.com/RoKhanna,https://www.twitter.com/RepRoKhanna,,Democratic Party,TRUE,0.713
87,Ritesh Tandon,https://ballotpedia.org/Ritesh_Tandon,California,17,https://www.twitter.com/tandon4congress,,,Republican Party,FALSE,0.287
88,Anna Eshoo,https://ballotpedia.org/Anna_Eshoo,California,18,https://www.twitter.com/Eshoo4Congress,https://www.twitter.com/RepAnnaEshoo,,Democratic Party,TRUE,0.632
89,Rishi Kumar,https://ballotpedia.org/Rishi_Kumar,California,18,https://www.twitter.com/rishikumar1,,,Democratic Party,FALSE,0.368
90,Zoe Lofgren,https://ballotpedia.org/Zoe_Lofgren,California,19,https://www.twitter.com/ZoeLofgren,https://www.twitter.com/RepZoeLofgren,,Democratic Party,TRUE,0.7170000000000000
91,Justin Aguilera,https://ballotpedia.org/Justin_Aguilera,California,19,https://www.twitter.com/JoinJustin19,,,Republican Party,FALSE,0.28300000000000000
92,Jimmy Panetta,https://ballotpedia.org/Jimmy_Panetta,California,20,https://www.twitter.com/JimmyPanetta,https://www.twitter.com/RepJimmyPanetta,,Democratic Party,TRUE,0.768
93,Jeff Gorman,https://ballotpedia.org/Jeff_Gorman_(California),California,20,https://www.twitter.com/JeffGormanMRY,,https://www.twitter.com/GormanCongress,Republican Party,FALSE,0.23200000000000000
94,TJ Cox,https://ballotpedia.org/TJ_Cox,California,21,https://www.twitter.com/TJCoxCongress,https://www.twitter.com/RepTjCox,,Democratic Party,TRUE,0.496
95,David G. Valadao,https://ballotpedia.org/David_Valadao,California,21,https://www.twitter.com/dgvaladao,https://www.twitter.com/RepDavidValadao,,Republican Party,FALSE,0.504
96,Devin Nunes,https://ballotpedia.org/Devin_Nunes,California,22,https://www.twitter.com/Team_Nunes,https://www.twitter.com/RepDevinNunes,https://www.twitter.com/DevinNunes,Republican Party,TRUE,0.542
97,Phil Arballo,https://ballotpedia.org/Phil_Arballo,California,22,https://www.twitter.com/PhilArballo2020,,,Democratic Party,FALSE,0.45800000000000000
98,Kevin McCarthy,https://ballotpedia.org/Kevin_McCarthy_(California),California,23,https://www.twitter.com/kevinomccarthy,https://www.twitter.com/GOPLeader,,Republican Party,TRUE,0.637
99,Kim Mangone,https://ballotpedia.org/Kim_Mangone,California,23,https://www.twitter.com/KimMangone,,,Democratic Party,FALSE,0.379
100,Salud Carbajal,https://ballotpedia.org/Salud_Carbajal,California,24,https://www.twitter.com/carbajalsalud,https://www.twitter.com/RepCarbajal,,Democratic Party,TRUE,0.5870000000000000
101,Andy Caldwell,https://ballotpedia.org/Andy_Caldwell,California,24,https://www.twitter.com/Caldwell_CA24,,,Republican Party,FALSE,0.413
102,Mike Garcia,https://ballotpedia.org/Mike_Garcia,California,25,https://www.twitter.com/mikegarcia2020,https://www.twitter.com/RepMikeGarcia,,Republican Party,TRUE,0.5
103,Christy Smith,https://ballotpedia.org/Christy_Smith,California,25,https://www.twitter.com/ChristyforCA25,,,Democratic Party,FALSE,0.5
104,Julia Brownley,https://ballotpedia.org/Julia_Brownley,California,26,https://www.twitter.com/JuliaBrownley,https://www.twitter.com/RepBrownley,,Democratic Party,TRUE,0.606
105,Ronda Baldwin-Kennedy,https://ballotpedia.org/Ronda_Baldwin-Kennedy,California,26,https://www.twitter.com/Ronda4Congress,,,Republican Party,FALSE,0.39400000000000000
106,Judy Chu,https://ballotpedia.org/Judy_Chu,California,27,https://www.twitter.com/JudyChuCampaign,https://www.twitter.com/RepJudyChu,,Democratic Party,TRUE,0.698
107,Johnny Nalbandian,https://ballotpedia.org/Johnny_Nalbandian,California,27,https://www.twitter.com/Johnny_Congress,,,Republican Party,FALSE,0.302
108,Adam Schiff,https://ballotpedia.org/Adam_Schiff,California,28,https://www.twitter.com/AdamSchiff,https://www.twitter.com/RepAdamSchiff,,Democratic Party,TRUE,0.727
109,Eric Early,https://ballotpedia.org/Eric_Early,California,28,https://www.twitter.com/EricEarly_CA,,,Republican Party,FALSE,0.273
110,Tony Cárdenas,https://ballotpedia.org/Tony_Cárdenas,California,29,,https://www.twitter.com/RepCardenas,https://www.twitter.com/Tcardenas,Democratic Party,TRUE,0.5660000000000000
111,Angelica Dueñas,https://ballotpedia.org/Angelica_Dueñas,California,29,https://www.twitter.com/Angelica4CA,,,Democratic Party,FALSE,0.434
112,Brad Sherman,https://ballotpedia.org/Brad_Sherman,California,30,,https://www.twitter.com/BradSherman,,Democratic Party,TRUE,0.695
113,Mark Reed,https://ballotpedia.org/Mark_Reed_(California),California,30,https://www.twitter.com/MarkReed1776,,,Republican Party,FALSE,0.305
114,Pete Aguilar,https://ballotpedia.org/Pete_Aguilar,California,31,https://www.twitter.com/AguilarCampaign,https://www.twitter.com/RepPeteAguilar,https://www.twitter.com/aguilarpete,Democratic Party,TRUE,0.613
115,Agnes Gibboney,https://ballotpedia.org/Agnes_Gibboney,California,31,https://www.twitter.com/agnes_gibboney,,,Republican Party,FALSE,0.387
116,Grace Napolitano,https://ballotpedia.org/Grace_Napolitano,California,32,,https://www.twitter.com/gracenapolitano,,Democratic Party,TRUE,0.6660000000000000
117,Joshua Scott,https://ballotpedia.org/Joshua_Scott,California,32,https://www.twitter.com/joshuascottca32,,,Republican Party,FALSE,0.33400000000000000
118,Ted Lieu,https://ballotpedia.org/Ted_Lieu,California,33,https://www.twitter.com/tedlieu,https://www.twitter.com/RepTedLieu,,Democratic Party,TRUE,0.6760000000000000
119,James P. Bradley,https://ballotpedia.org/James_P._Bradley_(California),California,33,https://www.twitter.com/BradleyCongress,,,Republican Party,FALSE,0.324
120,Jimmy Gomez,https://ballotpedia.org/Jimmy_Gomez,California,34,https://www.twitter.com/JimmyGomezCA,https://www.twitter.com/RepJimmyGomez,,Democratic Party,TRUE,0.53
121,David Kim,https://ballotpedia.org/David_Kim_(California),California,34,https://www.twitter.com/DavidKimForCA,,,Democratic Party,FALSE,0.47
122,Norma Torres,https://ballotpedia.org/Norma_Torres,California,35,https://www.twitter.com/Norma4Congress,https://www.twitter.com/NormaJTorres,,Democratic Party,TRUE,0.693
123,Mike Cargile,https://ballotpedia.org/Mike_Cargile,California,35,https://www.twitter.com/CargileFor,,,Republican Party,FALSE,0.307
124,Raul Ruiz,https://ballotpedia.org/Raul_Ruiz,California,36,https://www.twitter.com/Dr_RaulRuiz,https://www.twitter.com/RepRaulRuizMD,,Democratic Party,TRUE,0.603
125,Erin Cruz,https://ballotpedia.org/Erin_Cruz,California,36,https://www.twitter.com/RealErinCruz,,,Republican Party,FALSE,0.397
126,Karen Bass,https://ballotpedia.org/Karen_Bass,California,37,https://www.twitter.com/KarenBassTweets,https://www.twitter.com/RepKarenBass,,Democratic Party,TRUE,0.8590000000000000
127,Errol Webber,https://ballotpedia.org/Errol_Webber,California,37,https://www.twitter.com/ErrolWebber,,,Republican Party,FALSE,0.141
128,Linda Sánchez,https://ballotpedia.org/Linda_Sánchez,California,38,https://www.twitter.com/LindaTSanchez,https://www.twitter.com/RepLindaSanchez,,Democratic Party,TRUE,0.743
129,Michael Tolar,https://ballotpedia.org/Michael_Tolar,California,38,https://www.twitter.com/MichaelTolar6,,,Democratic Party,FALSE,0.257
130,Gil Cisneros,https://ballotpedia.org/Gil_Cisneros,California,39,https://www.twitter.com/GilCisnerosCA,https://www.twitter.com/RepGilCisneros,,Democratic Party,TRUE,0.494
131,Young Kim,https://ballotpedia.org/Young_Kim_(California),California,39,https://www.twitter.com/YoungKimCA,https://www.twitter.com/RepYoungKim,,Republican Party,FALSE,0.506
132,Lucille Roybal-Allard,https://ballotpedia.org/Lucille_Roybal-Allard,California,40,,https://www.twitter.com/RepRoybalAllard,,Democratic Party,TRUE,0.727
133,C. Antonio Delgado,https://ballotpedia.org/C._Antonio_Delgado_(California),California,40,https://www.twitter.com/cAntonioDelgado,,,Republican Party,FALSE,0.273
134,Mark Takano,https://ballotpedia.org/Mark_Takano,California,41,https://www.twitter.com/MarkTakano,https://www.twitter.com/RepMarkTakano,,Democratic Party,TRUE,0.64
135,Aja Smith,https://ballotpedia.org/Aja_Smith,California,41,https://www.twitter.com/AjaforCongress,,,Republican Party,FALSE,0.36
136,Ken Calvert,https://ballotpedia.org/Ken_Calvert,California,42,https://www.twitter.com/TeamCalvert,https://www.twitter.com/KenCalvert,,Republican Party,TRUE,0.5710000000000000
137,William O'Mara,https://ballotpedia.org/William_O'Mara,California,42,https://www.twitter.com/LiamOMaraIV,,,Democratic Party,FALSE,0.429
138,Maxine Waters,https://ballotpedia.org/Maxine_Waters,California,43,,https://www.twitter.com/RepMaxineWaters,,Democratic Party,TRUE,0.7170000000000000
139,Joe Collins,https://ballotpedia.org/Joe_Collins_(California),California,43,https://www.twitter.com/joecollins43rd,,,Republican Party,FALSE,0.28300000000000000
140,Nanette Barragán,https://ballotpedia.org/Nanette_Barragán,California,44,https://www.twitter.com/Nanette4CA,https://www.twitter.com/RepBarragan,,Democratic Party,TRUE,0.6780000000000000
141,Analilia Joya,https://ballotpedia.org/Analilia_Joya,California,44,,,,Democratic Party,FALSE,0.322
142,Katie Porter,https://ballotpedia.org/Katie_Porter,California,45,https://www.twitter.com/katieporteroc,https://www.twitter.com/RepKatiePorter,,Democratic Party,TRUE,0.535
143,Greg Raths,https://ballotpedia.org/Greg_Raths,California,45,,,https://www.twitter.com/GregRaths,Republican Party,FALSE,0.465
144,Lou Correa,https://ballotpedia.org/Lou_Correa,California,46,,https://www.twitter.com/RepLouCorrea,,Democratic Party,TRUE,0.688
145,James Waters,https://ballotpedia.org/James_Waters,California,46,https://www.twitter.com/watersfor,,,Republican Party,FALSE,0.312
146,Alan Lowenthal,https://ballotpedia.org/Alan_Lowenthal,California,47,https://www.twitter.com/alanlowenthal,https://www.twitter.com/RepLowenthal,,Democratic Party,TRUE,0.633
147,John Briscoe,https://ballotpedia.org/John_Briscoe,California,47,https://www.twitter.com/johnfbriscoe,,,Republican Party,FALSE,0.36700000000000000
148,Harley Rouda,https://ballotpedia.org/Harley_Rouda,California,48,https://www.twitter.com/HarleyRouda,https://www.twitter.com/RepHarley,,Democratic Party,FALSE,0.511
149,Michelle Steel,https://ballotpedia.org/Michelle_Steel,California,48,https://www.twitter.com/MichelleSteelCA,https://www.twitter.com/RepSteel,,Republican Party,FALSE,0.511
150,Mike Levin,https://ballotpedia.org/Mike_Levin,California,49,https://www.twitter.com/MikeLevin,https://www.twitter.com/RepMikeLevin,,Democratic Party,TRUE,0.531
151,Brian Maryott,https://ballotpedia.org/Brian_Maryott,California,49,https://www.twitter.com/brianlmaryott,,,Republican Party,FALSE,0.469
152,Ammar Campa-Najjar,https://ballotpedia.org/Ammar_Campa-Najjar,California,50,https://www.twitter.com/ACampaNajjar,,,Democratic Party,FALSE,0.46
153,Darrell Issa,https://ballotpedia.org/Darrell_Issa,California,50,https://www.twitter.com/TeamIssa,https://www.twitter.com/repdarrellissa,https://www.twitter.com/DarrellIssa,Republican Party,FALSE,0.54
154,Juan Vargas,https://ballotpedia.org/Juan_Vargas,California,51,,https://www.twitter.com/RepJuanVargas,,Democratic Party,TRUE,0.6830000000000000
155,Juan Hidalgo,https://ballotpedia.org/Juan_Hidalgo_Jr.,California,51,https://www.twitter.com/HidalgoCongress,,,Republican Party,FALSE,0.317
156,Scott Peters,https://ballotpedia.org/Scott_Peters,California,52,https://www.twitter.com/ScottPetersSD,https://www.twitter.com/RepScottPeters,,Democratic Party,TRUE,0.616
157,Jim DeBello,https://ballotpedia.org/Jim_DeBello,California,52,https://www.twitter.com/DeBelloCongress,,,Republican Party,FALSE,0.384
158,Georgette Gómez,https://ballotpedia.org/Georgette_Gómez,California,53,https://www.twitter.com/SDGeorgette,,,Prior offices,FALSE,0.405
159,Sara Jacobs,https://ballotpedia.org/Sara_Jacobs,California,53,https://www.twitter.com/SaraJacobsCA,https://www.twitter.com/RepSaraJacobs,,Democratic Party,FALSE,0.595
160,Diana DeGette,https://ballotpedia.org/Diana_DeGette,Colorado,1,https://www.twitter.com/DeGette5280,https://www.twitter.com/RepDianaDeGette,,Democratic Party,TRUE,0.736
161,Shane Bolling,https://ballotpedia.org/Shane_Bolling,Colorado,1,https://www.twitter.com/Shane4Co,,https://www.twitter.com/BollingShane,Republican Party,FALSE,0.235
162,Jan Kok,https://ballotpedia.org/Jan_Kok,Colorado,1,,,,Approval Voting Party,FALSE,0.003
163,Kyle Furey,https://ballotpedia.org/Kyle_Furey,Colorado,1,,,https://www.twitter.com/kylefurey,Libertarian Party,FALSE,0.019
164,Paul Fiorino,https://ballotpedia.org/Paul_Noel_Fiorino,Colorado,1,https://www.twitter.com/votefiorino,,,Unity Party,FALSE,0.006
165,Joe Neguse,https://ballotpedia.org/Joe_Neguse,Colorado,2,https://www.twitter.com/JoeNeguse,https://www.twitter.com/RepJoeNeguse,,Democratic Party,TRUE,0.615
166,Charles Winn,https://ballotpedia.org/Charles_Winn,Colorado,2,https://www.twitter.com/DrCharlieWinn,,,Republican Party,FALSE,0.354
167,Thom Atkinson,https://ballotpedia.org/Thom_Atkinson,Colorado,2,,,,Libertarian Party,FALSE,0.026000000000000000
168,Gary Swing,https://ballotpedia.org/Gary_Swing,Colorado,2,,,https://www.twitter.com/swinggary,Unity Party,FALSE,0.005
169,Diane Mitsch Bush,https://ballotpedia.org/Diane_Mitsch_Bush,Colorado,3,https://www.twitter.com/RepDMB,,,Democratic Party,FALSE,0.452
170,Lauren Boebert,https://ballotpedia.org/Lauren_Boebert,Colorado,3,https://www.twitter.com/laurenboebert,https://www.twitter.com/RepBoebert,,Republican Party,FALSE,0.514
171,John Keil,https://ballotpedia.org/John_Keil,Colorado,3,,,,Libertarian Party,FALSE,0.024
